State;Continent;Owner;RT.com;Spt.ru;All %;OK;Fail;Flag;Euro %;OK;Fail;Flag;TTJA %;OK;Fail;Flag;NEPLP %;OK;Fail;Flag;Cat3 %;Cat5 %
AT;EU;ANEXIA Internetdienstleistungs GmbH;0;0;0.21;84;23;0;0.51;17;18;1;0.0;7;0;0;0.12;65;9;0;0.33;0.2
GB;EU;Gradwell Communications Limited;0;0;0.21;84;23;0;0.55;15;18;1;0.0;9;0;0;0.12;66;9;0;0.33;0.2
DE;EU;myLoc managed IT AG;0;0;0.21;84;22;0;0.55;14;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
NL;EU;RouteLabel V.O.F.;0;0;0.19;76;18;0;0.47;16;14;0;0.0;8;0;0;0.11;58;7;0;0.0;0.0
CZ;EU;itself s.r.o.;0;0;0.19;88;20;0;0.45;18;15;0;0.0;9;0;0;0.11;67;8;0;0.0;0.0
--;~~;SafeDNS, Inc.;0;0;0.26;81;28;0;0.63;13;22;1;0.0;9;0;0;0.13;65;10;0;0.33;0.2
FR;EU;OVH SAS;0;0;0.14;30;5;0;0.36;7;4;0;0.0;1;0;0;0.08;23;2;0;0.0;0.0
DE;EU;Hetzner Online GmbH;0;0;0.21;82;22;0;0.55;14;17;1;0.0;9;0;0;0.12;64;9;0;0.33;0.2
GB;EU;Bistech Managed Services Ltd;0;1;0.87;12;77;1;1.0;0;22;1;1.0;0;7;1;0.82;12;56;1;1.0;0.8
--;~~;OpenNIC;0;0;0.2;70;18;0;0.48;14;13;0;0.0;8;0;0;0.13;53;8;0;0.0;0.0
RU;EU;YANDEX LLC;0;0;0.2;86;22;0;0.52;16;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
FR;EU;Free SAS;0;0;0.23;17;5;0;0.67;1;2;0;0.0;2;0;0;0.25;15;5;0;0.0;0.0
CZ;EU;T-Mobile Czech Republic a.s.;0;0;0.17;85;18;0;0.45;16;13;0;0.0;9;0;0;0.11;66;8;0;0.0;0.0
ES;EU;Vodafone Ono, S.A.;1;0;0.32;70;33;0;0.62;12;20;1;0.22;7;2;0;0.21;57;15;0;0.33;0.4
FR;EU;OVH SAS;0;0;0.21;84;22;0;0.49;18;17;0;0.0;9;0;0;0.12;63;9;0;0.0;0.0
RU;EU;JSC ER-Telecom Holding;0;0;0.2;70;18;0;0.48;15;14;0;0.0;7;0;0;0.1;54;6;0;0.0;0.0
FR;EU;OVH SAS;0;0;0.21;84;22;0;0.55;14;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
GB;EU;Gigastream plc;1;0;0.4;49;32;0;0.65;8;15;1;0.33;4;2;0;0.3;40;17;0;0.33;0.4
ES;EU;Telefonica De Espana;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
CZ;EU;itself s.r.o.;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
HU;EU;M247 Ltd;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
GB;EU;Serbia BroadBand-Srpske Kablovske mreze d.o.o.;0;0;0.21;11;3;0;0.67;1;2;0;0.0;1;0;0;0.1;9;1;0;0.0;0.0
UA;EU;Golta Home Net;0;0;0.34;72;37;0;0.51;17;18;1;0.33;6;3;0;0.27;55;20;0;0.33;0.2
DE;EU;netcup GmbH;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DE;EU;NbIServ;0;0;0.21;86;23;0;0.51;17;18;1;0.0;9;0;0;0.12;66;9;0;0.33;0.2
SK;EU;SWAN, a.s.;0;0;0.22;25;7;0;0.67;3;6;0;0.0;2;0;0;0.08;22;2;0;0.0;0.0
PL;EU;e-utp.net Marcin Gondek;0;0;0.2;87;22;0;0.49;18;17;0;0.0;9;0;0;0.12;66;9;0;0.0;0.0
FR;EU;OVH SAS;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
RU;EU;Serveroid, LLC;0;0;0.24;80;25;0;0.65;11;20;1;0.0;9;0;0;0.12;66;9;0;0.33;0.2
RU;EU;YANDEX LLC;0;0;0.2;86;21;0;0.5;16;16;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DE;EU;InfoServe GmbH;0;1;0.88;10;75;1;1.0;0;27;1;1.0;0;8;1;0.82;10;46;1;1.0;0.8
--;~~;Cloudflare;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
GB;EU;IONOS SE;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
GB;EU;British Telecommunications PLC;0;0;0.19;88;21;0;0.47;18;16;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DE;EU;Lennart Seitz;0;0;0.22;79;22;0;0.55;14;17;1;0.0;9;0;0;0.13;62;9;0;0.33;0.2
FR;EU;Online S.a.s.;0;0;0.67;36;74;1;0.86;5;30;1;0.67;3;6;1;0.63;28;48;1;1.0;0.6
RU;EU;Digit One LLC;0;0;0.08;11;1;0;0.5;1;1;0;0.0;2;0;0;0.0;10;0;0;0.0;0.0
NL;EU;NForce Entertainment B.V.;0;0;0.21;76;20;0;0.48;17;16;0;0.0;8;0;0;0.12;57;8;0;0.0;0.0
RU;EU;YANDEX LLC;0;0;0.2;86;22;0;0.52;16;17;1;0.0;9;0;0;0.12;67;9;0;0.33;0.2
FR;EU;Association Gitoyen;0;1;0.32;73;35;0;0.88;4;29;1;0.0;9;0;0;0.16;64;12;0;0.33;0.4
HR;EU;Sedmi Odjel d.o.o.;0;0;0.2;70;17;0;0.46;15;13;0;0.0;6;0;0;0.12;52;7;0;0.0;0.0
FR;EU;OVH SAS;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
RU;EU;JSC ER-Telecom Holding;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
CH;EU;Monzoon Networks AG;0;1;0.32;73;34;0;0.88;4;28;1;0.0;9;0;0;0.16;64;12;0;0.33;0.4
UA;EU;Donbass Electronic Communications Ltd.;0;0;0.3;19;8;0;0.57;3;4;0;0.0;3;0;0;0.21;15;4;0;0.0;0.0
DE;EU;netcup GmbH;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
RU;EU;PVimpelCom;0;0;0.16;31;6;0;0.42;7;5;0;0.0;1;0;0;0.04;24;1;0;0.0;0.0
PL;EU;Academic Computer Centre CYFRONET AGH;0;0;0.25;82;27;0;0.54;16;19;1;0.22;7;2;0;0.16;63;12;0;0.33;0.2
DE;EU;Hetzner Online GmbH;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DE;EU;IONOS SE;0;0;0.19;76;18;0;0.45;17;14;0;0.0;7;0;0;0.11;57;7;0;0.0;0.0
RU;EU;JSC ER-Telecom Holding;0;0;0.17;43;9;0;0.44;9;7;0;0.0;4;0;0;0.11;31;4;0;0.0;0.0
RU;EU;Rostelecom;0;0;0.19;88;21;0;0.47;18;16;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
CZ;EU;FreeTel, s.r.o.;0;0;0.21;76;20;0;0.49;18;17;0;0.0;9;0;0;0.11;55;7;0;0.0;0.0
GB;EU;SPRINTLINK;0;0;0.11;86;11;0;0.27;16;6;0;0.0;9;0;0;0.09;67;7;0;0.0;0.0
NL;EU;UUNET;0;0;0.34;73;37;0;0.91;3;32;1;0.0;9;0;0;0.14;65;11;0;0.33;0.2
IS;EU;Advania Island ehf;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
DE;EU;AS250.net Foundation;0;0;0.2;87;22;0;0.5;17;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
